SentimentTextID	SentenceTextID	SentenceTextLine	SentenceTextScore
1	1	The Candidate is an enthusiastic learner who seems to enjoy work.	0.6708585
1	2	The Candidate exhibits a positive outlook and attitude in the workspace.	0.8767198
2	3	The Candidate appears well rested and ready for each day's activities.	0.8991107
2	4	The Candidate shows enthusiasm for workspace activities.	0.6266759
2	5	The Candidate shows initiative and looks for new ways to get involved.	0.8856612
3	6	The Candidate uses instincts to deal with matters independently and in a positive way.	0.9134585
3	7	The Candidate strives to reach their full potential.	0.9329767
4	8	The Candidate is committed to doing their best.	0.8293441
5	9	The Candidate seeks new challenges.	0.9601167
6	10	The Candidate takes responsibility for their learning.	0.7157353
6	11	The Candidate cooperates consistently with the teacher and other Candidates.	0.830025
6	12	The Candidate transitions easily between workspace activities without distraction.	0.4401581
6	13	The Candidate is courteous and shows good manners in the workspace.	0.8839799
7	14	The Candidate follows workspace rules.	0.9202264
7	15	The Candidate conducts themselves with maturity.	0.6206108
8	16	The Candidate responds appropriately when corrected.	0.820675
8	17	The Candidate remains focused on the activity at hand.	0.7220427
9	18	The Candidate resists the urge to be distracted by other Candidates.	0.3080146
9	19	The Candidate is kind and helpful to everyone in the workspace.	0.9812278
9	20	The Candidate sets an example of excellence in behavior and cooperation.	0.8222387
10	21	The Candidate shows respect for teachers and peers.	0.5620065
10	22	The Candidate treats work property and the belongings of others with care and respect.	0.8286173
11	23	The Candidate is honest and trustworthy in dealings with others.	0.8814097
11	24	The Candidate displays good citizenship by assisting other Candidates.	0.7630647
11	25	The Candidate joins in work community projects.	0.6197186
12	26	The Candidate is concerned about the feelings of peers.	0.1543526
13	27	The Candidate faithfully performs workspace tasks.	0.7959172
13	28	The Candidate can be depended on to do what they are asked to do.	0.3470365
14	29	The Candidate seeks responsibilities and follows through.	0.9788347
14	30	The Candidate is thoughtful in interactions with others.	0.830368
14	31	The Candidate has a well-developed vocabulary.	0.9281574
14	32	The Candidate chooses words with care.	0.9571913
15	33	The Candidate expresses ideas clearly, both verbally and through writing.	0.9092919
15	34	The Candidate has a vibrant imagination and excels in creative writing.	0.836292
16	35	The Candidate has found their voice through poetry writing.	0.7510017
16	36	The Candidate uses vivid language in writing.	0.6812515
17	37	The Candidate writes clearly and with purpose.	0.7809034
17	38	The Candidate writes with depth and insight.	0.9484474
17	39	The Candidate can make a logical and persuasive argument.	0.8408081
17	40	The Candidate listens to the comments and ideas of others without interrupting.	0.6679451
18	41	The Candidate offers constructive suggestions to peers to enhance their work.	0.78816
18	42	The Candidate accepts the recommendations of peers and acts on them when appropriate.	0.9759899
