SentimentTextID	SentenceTextID	SentenceTextLine	SentimentTextLabel	SentimentTextScoreConfPositive	SentimentTextScoreConfNeutral	SentimentTextScoreConfNegative
1	1	The Candidate is an enthusiastic learner who seems to enjoy work.	positive	0.99	0.01	0
1	2	The Candidate exhibits a positive outlook and attitude in the workspace.	positive	0.88	0.12	0
2	3	The Candidate appears well rested and ready for each day's activities.	positive	0.92	0.06	0.02
2	4	The Candidate shows enthusiasm for workspace activities.	positive	0.98	0.02	0
2	5	The Candidate shows initiative and looks for new ways to get involved.	positive	0.57	0.42	0.01
3	6	The Candidate uses instincts to deal with matters independently and in a positive way.	positive	0.96	0.04	0
3	7	The Candidate strives to reach their full potential.	neutral	0.09	0.9	0.01
4	8	The Candidate is committed to doing their best.	positive	1	0	0
5	9	The Candidate seeks new challenges.	neutral	0.4	0.59	0.01
6	10	The Candidate takes responsibility for their learning.	positive	0.67	0.3	0.03
6	11	The Candidate cooperates consistently with the teacher and other Candidates.	positive	0.58	0.38	0.04
6	12	The Candidate transitions easily between workspace activities without distraction.	positive	0.91	0.08	0.01
6	13	The Candidate is courteous and shows good manners in the workspace.	positive	0.99	0.01	0
7	14	The Candidate follows workspace rules.	neutral	0.18	0.81	0.01
7	15	The Candidate conducts themselves with maturity.	neutral	0.33	0.63	0.04
8	16	The Candidate responds appropriately when corrected.	neutral	0.43	0.53	0.04
8	17	The Candidate remains focused on the activity at hand.	neutral	0.05	0.94	0.01
9	18	The Candidate resists the urge to be distracted by other Candidates.	negative	0.04	0.19	0.77
9	19	The Candidate is kind and helpful to everyone in the workspace.	positive	1	0	0
9	20	The Candidate sets an example of excellence in behavior and cooperation.	positive	0.93	0.07	0
10	21	The Candidate shows respect for teachers and peers.	positive	0.78	0.2	0.02
10	22	The Candidate treats work property and the belongings of others with care and respect.	positive	0.97	0.03	0
11	23	The Candidate is honest and trustworthy in dealings with others.	positive	1	0	0
11	24	The Candidate displays good citizenship by assisting other Candidates.	positive	0.98	0.02	0
11	25	The Candidate joins in work community projects.	neutral	0.46	0.53	0.01
12	26	The Candidate is concerned about the feelings of peers.	negative	0	0.01	0.99
